Link;Título;Autores;Fecha de publicación;Asesor(es);Editorial;Resumen;Palabras clave;Identificador único;Tipo de acceso
https://cybertesis.unmsm.edu.pe/item/84c51e55-9c71-48f9-beb5-766d816c562e;Algoritmo para brindar alta disponibilidad de servidores base de datos Oracle no clusterizados;Mena Sihuacollo, Joseph César, Oracle (Programa para computadora), Arquitectura orientada a servicios (Computación), Servicios Web, Algoritmos, https://hdl.handle.net/20.500.12672/8010;2018;Angulo Calderón, César Augusto;Universidad Nacional Mayor de San Marcos;Describe el algoritmo para brindar alta disponibilidad de servidores de base de datos Oracle no clusterizados para una empresa del rubro de administración de pensiones. El problema se identifica cuando se inicia un requerimiento que necesitaba que la aplicación, producto de este requerimiento, tuviera disponibilidad 24x7. Para garantizar la disponibilidad de 24x7 o también llamada alta disponibilidad, se requiere servidores redundantes en los diferentes niveles de la arquitectura de la aplicación. La empresa en cuestión cuenta con servidores redundantes (clusterizados) en los diferentes niveles de la arquitectura menos en el nivel de base de datos. La empresa, luego de una evaluación de las diferentes opciones que le permita obtener alta disponibilidad de base de datos (oracle), opta por realizarlo mediante la implementación de un algoritmo propio, y con ello alcanza alta disponibilidad en los diferentes niveles de la arquitectura de la aplicación, cumpliendo con las expectativas requeridas.;Oracle (Programa para computadora), Arquitectura orientada a servicios (Computación), Servicios Web, Algoritmos;https://hdl.handle.net/20.500.12672/8010;info:eu-repo/semantics/closedAccess
https://cybertesis.unmsm.edu.pe/item/2ff1841f-23de-492f-bf17-ce7429f186d9;Alineamiento de Marco COBIT y Normas PCI para aplicarse al proceso de tarjeta de crédito en una entidad financiera;Fuentes Rivera, Jessica Vallejos, Sistemas de almacenamiento y recuperación de la información - Bancos, Bancos - Sistemas de seguridad, Encriptación de datos (Computación), COBIT (Estándar en la administración de la tecnología de la información), Tarjetas de crédito - Medidas de seguridad, https://hdl.handle.net/20.500.12672/11165;2010;Pantoja Collantes, Jorge Santiago;Universidad Nacional Mayor de San Marcos;Busca alinear los requisitos normados por la industria de tarjeta de pago (PCI) con el marco conceptual COBIT, con el propósito de optimizar los procesos de tarjeta de crédito obteniendo una matriz de asignación de responsabilidades, un modelo de madurez y una gestión de prevención de los riesgos del fraude y así mantener la información que la empresa necesita para lograr sus objetivos. El proceso de tarjeta de crédito reúne una serie de debilidades correspondientes a la seguridad de la información, las entidades financieras no son ajenas a diferentes tipos de ataques, entre ellos incluidos el fraude interno, el cual afecta a la imagen del negocio.;Sistemas de almacenamiento y recuperación de la información - Bancos, Bancos - Sistemas de seguridad, Encriptación de datos (Computación), COBIT (Estándar en la administración de la tecnología de la información), Tarjetas de crédito - Medidas de seguridad;https://hdl.handle.net/20.500.12672/11165;info:eu-repo/semantics/openAccess
https://cybertesis.unmsm.edu.pe/item/131ef92e-5f52-4caa-a47b-a34ab96f7bfa;Análisis basado en grafos para programas de estudio en computación de universidades del Perú;Alvarado Revata, Jorge, Teoría de grafos, Redes de computadoras, Algoritmos, https://hdl.handle.net/20.500.12672/23702;2024;Trujillo Trejo , John Ledgard;Universidad Nacional Mayor de San Marcos;"El presente estudio aborda la diversidad y dispersión de propuestas educativas en la educación universitaria de informática en el Perú, con el objetivo de identificar una métrica que permita encontrar proximidades entre distintos planes de estudio así como también respecto a referentes o guías estandarizadas internacionales; se propone la aplicación de la similaridad de grafos para el respectivo análisis comparativo. Los datos analizados será información pública de planes de estudio de escuelas universitarias, así como referentes internacionales en educación informática. En el desarrollo del proyecto se ha elaborado una herramienta web que permite la elección de los planes y guías que se pretende comparar. Este estudio contribuye en el análisis de mejoras de los diseños curriculares de nuestras instituciones de educación superior.";Teoría de grafos, Redes de computadoras, Algoritmos;https://hdl.handle.net/20.500.12672/23702;info:eu-repo/semantics/openAccess
https://cybertesis.unmsm.edu.pe/item/4be09f68-4e6c-412d-be94-9d00ace1439d;Análisis bibliométrico de la revista RISI de la Facultad de Ingeniería de Sistemas e Informática de la UNMSM (2008 - 2014);Luza Montero, César, Bibliometría, Revistas UNMSM, Ingeniería de sistemas, https://hdl.handle.net/20.500.12672/7872;2017;Castro León, Gloria Helena;Universidad Nacional Mayor de San Marcos;Analiza la información relacionada al contenido, productividad de autores y referencias bibliográficas de los artículos publicados en la Revista RISI, Revista de Ingeniería de Sistemas e Informática, de la Facultad de Ingeniería de Sistemas e Informática de la Universidad Nacional Mayor de San Marcos. Se aplica el método de análisis bibliométrico para determinar los temas cubiertos en los artículos y de los autores, el nivel de productividad, el índice de cooperación e instituciones de procedencia. Además, respecto de las fuentes bibliográficas, determinar el promedio de referencias por artículo, los tipos empleados, países de procedencia e idiomas. Ayuda a identificar fortalezas y debilidades respecto del tratamiento de estos temas y a conjugar esfuerzos para promover grupos de investigación integrados por docentes y estudiantes interesados en abordar investigaciones en temas similares. Asimismo, esta investigación ayuda a determinar la calidad de la producción científica de los autores y en consecuencia, la calidad de la revista.;Bibliometría, Revistas UNMSM, Ingeniería de sistemas;https://hdl.handle.net/20.500.12672/7872;info:eu-repo/semantics/openAccess
https://cybertesis.unmsm.edu.pe/item/1477ea74-8e79-44cb-948d-5297cb29e6f2;Análisis cienciométrico de las tendencias emergentes, dinámicas y modelos espacio-temporales del uso de bots de inteligencia artificial, ChatGPTs y agentes conversacionales inteligentes en la educación médica;Mayta Tovalino, Frank Roger, Inteligencia artificial, bibliometría, medicina, https://hdl.handle.net/20.500.12672/22619;2024;Escobedo Bailón, Frank Edmundo;Universidad Nacional Mayor de San Marcos;Analiza las tendencias emergentes, dinámicas y modelos espacio-temporales relacionadas con el uso de bots de inteligencia artificial, ChatGPTs y agentes conversacionales inteligentes en la educación médica. Se empleó un análisis transversal, retrospectivo y observacional con enfoque cienciométrico de las publicaciones científicas indexadas en Web of Science. Se utilizaron indicadores bibliométricos para analizar los metadatos de los artículos científicos publicados sobre el tema. Se observó un crecimiento constante en la producción científica, con un aumento significativo en los últimos años. Las revistas “Journal of Biomedical Informatics”, “Journal of the American Medical Informatics Association” y “Journal of Medical Internet Research” fueron las más influyentes en este campo. Los Estados Unidos lideran la producción de artículos, seguidos por China. El estudio bibliométrico revela un crecimiento constante en la producción documental en el campo de la inteligencia artificial en la educación médica, los Estados Unidos y China lideran en la producción de artículos, con una alta tasa de colaboración internacional.;Inteligencia artificial, bibliometría, medicina;https://hdl.handle.net/20.500.12672/22619;info:eu-repo/semantics/openAccess
https://cybertesis.unmsm.edu.pe/item/5c48084e-6d93-4db2-8928-f1354e940fb7;Análisis de la aceptación de la normativa de tecnologías en las instituciones públicas del Estado peruano;Gutarra Castañeda, Maritza, Tecnología de la información, Normalización - Perú, Ingeniería de software - Normas - Perú, Tecnología de la información - Administración, https://hdl.handle.net/20.500.12672/12238;2012;Rodríguez Robles, Flavio Enrique;Universidad Nacional Mayor de San Marcos;"Valida la aplicabilidad del modelo de aceptación de la tecnología -TAM en un contexto como Perú; asimismo evalúa y explica la adopción de una tecnología en particular como es la NTP-ISO/IEC 12207 por los usuarios de tecnología de la información en las Instituciones Públicas, se aplicó el TAM ya que goza de un mayor reconocimiento en la literatura en estas últimas décadas, con el fin de entender la fuerza que motiva o impide una adecuada relación de tecnología con los usuarios especialistas, pues es considerado como el más difícil de analizar pero en el que recae la decisión de uso de la tecnología.";Tecnología de la información, Normalización - Perú, Ingeniería de software - Normas - Perú, Tecnología de la información - Administración;https://hdl.handle.net/20.500.12672/12238;info:eu-repo/semantics/closedAccess
https://cybertesis.unmsm.edu.pe/item/da12706d-2433-45f1-addc-9d87aa3ebf87;Análisis de riesgos en seguridad informática caso UNMSM;Sánchez Sánchez, Regina Magie, Seguridad informática, Redes de computadoras - Medidas de seguridad, Universidades y escuelas superiores - Sistemas de seguridad, https://hdl.handle.net/20.500.12672/14862;2007;Pantoja Collantes, Jorge Santiago;Universidad Nacional Mayor de San Marcos;Realiza un análisis de riesgos en seguridad informática en la UNMSM, lo cual permitirá desarrollar procesos y procedimientos seguros basados en políticas y estándares recomendados por el Estado peruano (ONGEI - Oficina Nacional de Gobierno Electrónico e Informática) y el ISO 17799 (BS 7799-1), completo conjunto de controles, internacionalmente reconocidos, que abarcan las mejores prácticas en materia de seguridad de la información.;Seguridad informática, Redes de computadoras - Medidas de seguridad, Universidades y escuelas superiores - Sistemas de seguridad;https://hdl.handle.net/20.500.12672/14862;info:eu-repo/semantics/openAccess
https://cybertesis.unmsm.edu.pe/item/c962388f-3dfb-46db-a14f-bb5805dfe846;Análisis de usabilidad de los CMS para comercio electrónico de código abierto, orientado a sitios web en las pyme;Alvarado Pérez, Rony Arturo, Microempresas - Innovaciones tecnológicas, Software libre para computadora, Páginas Web, Comercio electrónico, https://hdl.handle.net/20.500.12672/15674;2011;Quinto Pazce, Daniel Alfonso;Universidad Nacional Mayor de San Marcos;"En este estudio se desarrolla un primer acercamiento hacia la usabilidad en sitios web, específicamente a un tipo especial de sitios web, los CMS de código abierto; para los cuales se descubre que se debe tener otro enfoque de análisis de usabilidad debido a las características especiales que tienen. El propósito de este estudio es proporcionar un documento que permita a usuarios no expertos en temas de usabilidad como son los propietarios de las PYME, tener una visión general sobre la importancia que tiene el ajustar los sitios web a las directivas de usabilidad establecidas. Se aborda específicamente los sitios web de comercio electrónico. Para ello se propone una metodología para realizar un análisis heurístico de usabilidad, está realizado de la manera mas sencilla posible ya que nuestra intención es que pueda ser aprovechado por la mayor cantidad de público posible sobre todo de las PYME quienes no cuentan con experiencia ni conocimiento sobre análisis de usabilidad y para quienes realizar otro método de análisis o contratar un experto o grupo de expertos sería poco viable. También se presenta n caso práctico de la manera como se puede llevar a la práctica este tipo de análisis, con esto se pretende que el ejercicio sirva de modelo o incluso de plantilla para que los propietarios de las PYME y otros interesados puedan entrenar y también ejecutar análisis de usabilidad usando el método heurístico. Dos conjuntos de directrices de usabilidad se utilizaron para llevar a cabo este trabajo, pautas y directrices para páginas principales y pautas y directrices para páginas web de comercio electrónico. Estas directrices han sido desarrolladas por Nielsen, Molich, Snyder y Farrell 2000, y se utilizan únicamente como base para esta propuesta metodológica de análisis heurístico.";Microempresas - Innovaciones tecnológicas, Software libre para computadora, Páginas Web, Comercio electrónico;https://hdl.handle.net/20.500.12672/15674;info:eu-repo/semantics/closedAccess
https://cybertesis.unmsm.edu.pe/item/b6ebb43e-547d-4ed6-8fc3-569bc2e21265;Análisis del uso de tecnologías de información y comunicación en procesos electorales caso: Sistema de Escrutinio Automatizado, Perú 2014-2016;Briones Heras, Mauricio, Elecciones - Innovaciones tecnológicas - Perú, Tecnología de la información, https://hdl.handle.net/20.500.12672/18233;2018;Pantoja Collantes, Jorge Santiago;Universidad Nacional Mayor de San Marcos;Describe el uso de las TICs para abordar el problema de eficiencia en el ingreso, transmisión y cómputo de datos (votos), cuyas magnitudes de tiempo se venían acrecentando preocupantemente en cada proceso electoral. Con el fin de superar esta situación, en la ONPE se han diseñado e implementado algunas técnicas mediante el uso de las TIC, como el Voto Electrónico Presencial ─VEP 􀇇 el “EA, los cuales se han venido instaurando de manera gradual, por circunscripciones, “procesos electorales“. Analiza el uso de las TICs en el SEA de los años 2014 al 2016, en los procesos donde participé y longitudinalmente en los procesos mayores y lugares donde se aplicó. El método empleado fue de nivel descriptivo, empleando las técnicas de observación y análisis documental. Estudié la conceptualización y procedimientos de ejecución del SEA, contrastando los tiempos durante el ingreso de votos del escrutinio, trasmisión y cómputo, costos referenciales, realizando comparaciones con el VEP y el método tradicional, como modelos de solución informática, llegando a establecer la importante contribución del uso de las TIC en la ONPE para la eficiencia del tiempo de cómputo y entrega de avances de resultados a la población.;Elecciones - Innovaciones tecnológicas - Perú, Tecnología de la información;https://hdl.handle.net/20.500.12672/18233;info:eu-repo/semantics/openAccess
https://cybertesis.unmsm.edu.pe/item/0f6fa267-52a4-4ec5-b812-fb630cd331dc;Análisis diseño e implementación de un portal web para gobiernos locales;Contreras Mendoza, Rolando Javier, Portales web - Perú, Sistemas de información en administración, Gobierno local - Perú - Innovaciones tecnológicas, Gobierno municipal - Perú - Procesamiento de datos, https://hdl.handle.net/20.500.12672/15024;2011;Yañez Duran, Carlos Enrique;Universidad Nacional Mayor de San Marcos;Para el desarrollo de un portal web, las municipalidades en el Perú no siguen una metodología, ni están obligadas a seguir recomendaciones de buenas prácticas por parte del estado, este tampoco nos marca un camino mínimo que debemos seguir, por lo tanto no se hace un estudio previo para saber qué información es relevante para el vecino, quien es finalmente nuestro público objetivo. En el presente trabajo se desarrolla un conjunto de buenas prácticas basado en estudios de usabilidad, siguiendo una metodología para la creación de sitios web, todo esto alineado al plan de gobierno electrónico y al plan de gestión de la municipalidad.;Portales web - Perú, Sistemas de información en administración, Gobierno local - Perú - Innovaciones tecnológicas, Gobierno municipal - Perú - Procesamiento de datos;https://hdl.handle.net/20.500.12672/15024;info:eu-repo/semantics/closedAccess
